=== FILE: Background.output000000001.wav.3dfetemi.ingestion-84f9b89597-pnvsl.wav ===
Timestamp_ms,Peak,Mean,CV
480.0,549.0156,509.8844,0.0275
500.0,557.6094,509.4291,0.0271
520.0,550.9219,509.6137,0.0293
540.0,557.0938,509.1772,0.0319
560.0,542.2344,509.8008,0.0297
580.0,550.0469,509.1064,0.0312
600.0,559.7656,510.098,0.0364
620.0,546.7188,509.4401,0.0287
640.0,555.4531,509.2378,0.0269
660.0,564.375,509.5195,0.0339
680.0,546.9531,509.7016,0.0263
700.0,550.5156,509.3378,0.0309
720.0,545.5781,509.0996,0.0253
740.0,543.7188,509.9651,0.026
760.0,549.1719,508.9823,0.0321
780.0,541.6562,509.3315,0.0266
800.0,549.4062,509.7983,0.0274
820.0,543.5156,509.5201,0.0257
840.0,540.1875,509.6412,0.0237
860.0,550.1719,509.3445,0.0298
880.0,553.5938,509.7079,0.0304
900.0,546.5781,509.777,0.0279
920.0,564.1719,509.7274,0.0296
940.0,551.7344,509.1566,0.0281
960.0,551.9688,509.1522,0.0264
980.0,552.1719,509.9566,0.0304
1000.0,555.3438,509.3552,0.0298
1020.0,543.0625,509.5523,0.0238
1040.0,545.2969,509.5352,0.0306
1060.0,540.2656,509.2266,0.0262
1080.0,545.2188,509.8636,0.0285
1100.0,547.0,508.8086,0.0264
1120.0,542.4062,509.899,0.0242
1140.0,542.1562,509.4052,0.0258
1160.0,557.125,509.216,0.0273
1180.0,542.2188,510.0039,0.0256
1200.0,546.7344,508.7862,0.0298
1220.0,545.3438,509.8684,0.0262
1240.0,541.5312,509.0926,0.0253
1260.0,548.1562,509.5278,0.0302
1280.0,555.7188,509.2755,0.0292
1300.0,541.3906,510.3602,0.0214
1320.0,568.5938,509.9042,0.0303
1340.0,552.9531,509.6572,0.0289
1360.0,554.2969,508.6212,0.033
1380.0,551.5938,509.6883,0.0285
1400.0,544.8594,509.5304,0.024
1420.0,544.4219,509.393,0.0246
1440.0,543.4531,509.5888,0.0278
1460.0,541.9688,509.1652,0.0272
1480.0,568.3281,509.7964,0.0324
1500.0,544.7344,509.831,0.027
1520.0,544.0938,509.2154,0.0275
1540.0,533.9219,509.3439,0.0212
1560.0,538.25,509.507,0.0246
1580.0,534.9062,509.745,0.022
1600.0,537.1562,509.6206,0.026
1620.0,548.0625,509.195,0.0256
1640.0,550.9531,509.36,0.0246
1660.0,542.0,509.5714,0.0257
