SOUND=sounds/glass1.wav
[ms] | AMP | [ISI] - czas miedzy spike'ami | SPIKES_total
Wyslano: 1015 | Arduino: 5206 | 466 | 17172 | 210
Wyslano: 1011 | Arduino: 5227 | 465 | 17433 | 211
Wyslano: 1019 | Arduino: 5248 | 470 | 17475 | 212
Wyslano: 1015 | Arduino: 5280 | 466 | 14784 | 214
Wyslano: 1011 | Arduino: 5301 | 465 | 16137 | 214
Wyslano: 1019 | Arduino: 5334 | 470 | 14388 | 216
Wyslano: 1011 | Arduino: 5354 | 465 | 15903 | 216
Wyslano: 1011 | Arduino: 5387 | 465 | 14375 | 218
Wyslano: 1011 | Arduino: 5407 | 465 | 15895 | 218
Wyslano: 1011 | Arduino: 5440 | 465 | 14398 | 220
Wyslano: 1019 | Arduino: 5460 | 471 | 15821 | 220
Wyslano: 1011 | Arduino: 5493 | 465 | 14286 | 222
Wyslano: 1019 | Arduino: 5514 | 470 | 15769 | 222
Wyslano: 1015 | Arduino: 5547 | 466 | 14334 | 224
Wyslano: 1011 | Arduino: 5567 | 465 | 15870 | 224
Wyslano: 1019 | Arduino: 5600 | 470 | 14307 | 226
Wyslano: 1019 | Arduino: 5620 | 469 | 15796 | 226
Wyslano: 1011 | Arduino: 5653 | 465 | 14345 | 228
Wyslano: 1019 | Arduino: 5673 | 470 | 15804 | 228
Wyslano: 1019 | Arduino: 5706 | 470 | 14296 | 230
Wyslano: 1015 | Arduino: 5726 | 466 | 15833 | 230
Wyslano: 1015 | Arduino: 5747 | 466 | 16713 | 231
Wyslano: 1019 | Arduino: 5768 | 469 | 17130 | 232
Wyslano: 1015 | Arduino: 5800 | 466 | 14689 | 234
Wyslano: 1019 | Arduino: 5820 | 469 | 16022 | 234
Wyslano: 1023 | Arduino: 5841 | 472 | 16718 | 235
Wyslano: 1007 | Arduino: 5862 | 466 | 17184 | 236
Wyslano: 1019 | Arduino: 5895 | 469 | 14639 | 238
Wyslano: 1015 | Arduino: 5915 | 467 | 16022 | 238
Wyslano: 1023 | Arduino: 5936 | 472 | 16719 | 239
Wyslano: 1023 | Arduino: 5968 | 471 | 14480 | 241
Wyslano: 1019 | Arduino: 5988 | 468 | 15913 | 241
Wyslano: 1011 | Arduino: 6009 | 467 | 16741 | 242
Wyslano: 1015 | Arduino: 6042 | 467 | 14560 | 244
Wyslano: 1015 | Arduino: 6062 | 467 | 15975 | 244
Wyslano: 1019 | Arduino: 6094 | 468 | 14310 | 246
Wyslano: 1023 | Arduino: 6115 | 471 | 15769 | 246
Wyslano: 1023 | Arduino: 6136 | 471 | 16598 | 247
Wyslano: 999 | Arduino: 6168 | 465 | 14556 | 249
Wyslano: 1019 | Arduino: 6188 | 470 | 15929 | 249
Wyslano: 1019 | Arduino: 6209 | 469 | 16717 | 250
Wyslano: 1011 | Arduino: 6230 | 466 | 17183 | 251
Wyslano: 1015 | Arduino: 6262 | 466 | 14703 | 253
Wyslano: 1019 | Arduino: 6283 | 469 | 16029 | 253
Wyslano: 1011 | Arduino: 6304 | 466 | 16820 | 254
Wyslano: 1011 | Arduino: 6336 | 465 | 14631 | 256
Wyslano: 1015 | Arduino: 6356 | 467 | 16017 | 256
Wyslano: 1019 | Arduino: 6389 | 470 | 14347 | 258
Wyslano: 1007 | Arduino: 6410 | 465 | 15878 | 258
Wyslano: 1015 | Arduino: 6443 | 466 | 14323 | 260
Wyslano: 1011 | Arduino: 6463 | 465 | 15864 | 260
Wyslano: 1011 | Arduino: 6496 | 466 | 14294 | 262
Wyslano: 1019 | Arduino: 6516 | 469 | 15788 | 262
Wyslano: 1015 | Arduino: 6549 | 469 | 14329 | 264
Wyslano: 1019 | Arduino: 6569 | 472 | 15766 | 264
Wyslano: 1019 | Arduino: 6602 | 470 | 14269 | 266
Wyslano: 1019 | Arduino: 6622 | 470 | 15759 | 266
Wyslano: 1019 | Arduino: 6643 | 469 | 16625 | 267
Wyslano: 1015 | Arduino: 6664 | 466 | 17135 | 268
Wyslano: 1015 | Arduino: 6696 | 466 | 14664 | 270
Wyslano: 1019 | Arduino: 6716 | 469 | 16007 | 270
Wyslano: 1019 | Arduino: 6737 | 468 | 16775 | 271
Wyslano: 1015 | Arduino: 6758 | 467 | 17196 | 272
Wyslano: 1015 | Arduino: 6790 | 467 | 14711 | 274
Wyslano: 1015 | Arduino: 6810 | 467 | 16064 | 274
Wyslano: 1019 | Arduino: 6831 | 470 | 16773 | 275
Wyslano: 1019 | Arduino: 6852 | 469 | 17161 | 276
Wyslano: 1019 | Arduino: 6873 | 469 | 17358 | 277
Wyslano: 1003 | Arduino: 6905 | 465 | 14732 | 279
Wyslano: 1015 | Arduino: 6925 | 466 | 16092 | 279
Wyslano: 1011 | Arduino: 6946 | 465 | 16870 | 280
Wyslano: 1015 | Arduino: 6967 | 467 | 17245 | 281
Wyslano: 1003 | Arduino: 6999 | 464 | 14708 | 283
Wyslano: 1007 | Arduino: 7019 | 464 | 16107 | 283
Wyslano: 1015 | Arduino: 7040 | 468 | 16829 | 284
Wyslano: 1019 | Arduino: 7061 | 471 | 17156 | 285
Wyslano: 1023 | Arduino: 7094 | 474 | 14614 | 287
Wyslano: 1015 | Arduino: 7114 | 466 | 16022 | 287
Wyslano: 1019 | Arduino: 7147 | 469 | 14336 | 289
Wyslano: 1011 | Arduino: 7168 | 466 | 15857 | 289
Wyslano: 1019 | Arduino: 7200 | 469 | 14290 | 291
Wyslano: 1015 | Arduino: 7221 | 467 | 15815 | 291
Wyslano: 1015 | Arduino: 7254 | 467 | 14302 | 293
Wyslano: 1011 | Arduino: 7274 | 466 | 15836 | 293
Wyslano: 1015 | Arduino: 7296 | 466 | 16715 | 294
Wyslano: 1011 | Arduino: 7318 | 465 | 17199 | 295
Wyslano: 1019 | Arduino: 7339 | 470 | 17360 | 296
Wyslano: 1019 | Arduino: 7371 | 470 | 14705 | 298
Wyslano: 1007 | Arduino: 7392 | 465 | 16091 | 298
Wyslano: 1015 | Arduino: 7424 | 467 | 14412 | 300
Wyslano: 1019 | Arduino: 7445 | 470 | 15844 | 300
Wyslano: 1019 | Arduino: 7467 | 469 | 16671 | 301
Wyslano: 1019 | Arduino: 7489 | 469 | 17109 | 302
Wyslano: 1019 | Arduino: 7510 | 469 | 17332 | 303
Wyslano: 1019 | Arduino: 7531 | 468 | 17460 | 304
Wyslano: 1019 | Arduino: 7552 | 468 | 17524 | 305
Wyslano: 1011 | Arduino: 7584 | 466 | 14787 | 307
Wyslano: 1019 | Arduino: 7605 | 469 | 16079 | 307
Wyslano: 1019 | Arduino: 7638 | 469 | 14351 | 309
Wyslano: 1015 | Arduino: 7658 | 467 | 15851 | 309
Wyslano: 1019 | Arduino: 7691 | 468 | 14300 | 311
Wyslano: 999 | Arduino: 7711 | 465 | 15850 | 311
Wyslano: 1019 | Arduino: 7744 | 470 | 14293 | 313
Wyslano: 1015 | Arduino: 7764 | 466 | 15831 | 313
Wyslano: 1015 | Arduino: 7797 | 466 | 14318 | 315
Wyslano: 1015 | Arduino: 7818 | 466 | 15846 | 315
Wyslano: 1015 | Arduino: 7851 | 467 | 14286 | 317
Wyslano: 995 | Arduino: 7871 | 464 | 15856 | 317
Wyslano: 1015 | Arduino: 7904 | 467 | 14355 | 319
Wyslano: 1015 | Arduino: 7924 | 467 | 15854 | 319
Wyslano: 1011 | Arduino: 7957 | 465 | 14328 | 321
Wyslano: 1019 | Arduino: 7977 | 470 | 15794 | 321
Wyslano: 1019 | Arduino: 8010 | 469 | 14272 | 323
Wyslano: 1003 | Arduino: 8030 | 465 | 15833 | 323
Wyslano: 591 | Arduino: 8051 | 411 | 17650 | 324
Wyslano: 1015 | Arduino: 8072 | 512 | 16863 | 325
Wyslano: 615 | Arduino: 8104 | 365 | 16742 | 327
Wyslano: 975 | Arduino: 8124 | 518 | 16352 | 327
Wyslano: 519 | Arduino: 8145 | 346 | 19260 | 328
Wyslano: 479 | Arduino: 8166 | 311 | 22039 | 329
Wyslano: 415 | Arduino: 8186 | 277 | 24874 | 329
Wyslano: 627 | Arduino: 8207 | 296 | 25796 | 330
Wyslano: 1007 | Arduino: 8227 | 617 | 17668 | 330
Wyslano: 1015 | Arduino: 8248 | 581 | 15808 | 331
Wyslano: 551 | Arduino: 8280 | 352 | 15349 | 333
Wyslano: 479 | Arduino: 8300 | 315 | 19199 | 333
Wyslano: 495 | Arduino: 8321 | 291 | 22573 | 334
Wyslano: 555 | Arduino: 8341 | 281 | 25058 | 334
Wyslano: 579 | Arduino: 8363 | 276 | 26691 | 335
Wyslano: 431 | Arduino: 8383 | 255 | 28525 | 335
Wyslano: 387 | Arduino: 8415 | 229 | 26583 | 336
Wyslano: 307 | Arduino: 8436 | 205 | 31013 | 337
Wyslano: 403 | Arduino: 8456 | 199 | 34171 | 337
Wyslano: 323 | Arduino: 8477 | 185 | 37043 | 338
Wyslano: 399 | Arduino: 8497 | 184 | 38720 | 338
Wyslano: 239 | Arduino: 8518 | 164 | 41496 | 339
Wyslano: 255 | Arduino: 8538 | 151 | 44442 | 339
Wyslano: 251 | Arduino: 8558 | 141 | 47302 | 339
Wyslano: 279 | Arduino: 8579 | 137 | 49399 | 340
Wyslano: 251 | Arduino: 8599 | 131 | 51396 | 340
Wyslano: 259 | Arduino: 8619 | 127 | 53077 | 340
Wyslano: 223 | Arduino: 8640 | 120 | 55144 | 341
Wyslano: 235 | Arduino: 8660 | 117 | 56769 | 341
Wyslano: 195 | Arduino: 8680 | 109 | 59176 | 341
Wyslano: 187 | Arduino: 8701 | 103 | 61724 | 342
Wyslano: 195 | Arduino: 8722 | 99 | 63987 | 342
Wyslano: 199 | Arduino: 8742 | 97 | 65651 | 342
Wyslano: 155 | Arduino: 8763 | 89 | 68606 | 342
Wyslano: 171 | Arduino: 8797 | 80 | 65977 | 343
Wyslano: 123 | Arduino: 8828 | 75 | 63474 | 343
Wyslano: 147 | Arduino: 8849 | 73 | 71901 | 344
Wyslano: 131 | Arduino: 8869 | 69 | 78295 | 344
Wyslano: 111 | Arduino: 8889 | 64 | 83845 | 344
Wyslano: 83 | Arduino: 8909 | 57 | 90022 | 344
Wyslano: 75 | Arduino: 8930 | 50 | 97058 | 344
Wyslano: 75 | Arduino: 8951 | 46 | 103332 | 345
